"country","local_id","global_id","type","day","month","year","participant_age","participant_gender","participant_occupation","participant_occ_detail","participant_education","participant_edu_length","participant_school_year","participant_nationality","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","work_contacts","work_contacts_nr","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","diary_weight","dayofweek","weekday","holiday","cnt_count"
"BE",46508,186032,1,28,10,2010,86,"F",2,NA,3,NA,NA,"BE",7,17,17,23,54,54,46,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,NA,NA,NA,NA,4,"Y","N",1
"BE",46568,186272,1,17,11,2010,60,"M",1,NA,1,NA,NA,"BE",2,59,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,3,"Y","N",1
"BE",46753,187012,1,26,10,2010,36,"M",6,NA,6,NA,NA,"BE",3,36,70,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,2,"Y","N",13
"BE",46755,187020,1,15,11,2010,45,"M",6,NA,3,NA,NA,"BE",3,22,43,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,1,"Y","N",7
"BE",48977,195908,1,28,10,2010,63,"M",1,NA,3,NA,NA,"BE",1,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","N",8
"BE",50042,200168,3,26,1,2011,5,"M",5,NA,5,NA,NA,"BE",2,5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,"Y",3,NA,"BE","N",NA,1,NA,NA,NA,3,"Y","N",25
"BE",50046,200184,3,1,2,2011,5,"F",5,NA,6,NA,NA,"BE",4,3,5,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,"Y",3,NA,"BE",NA,NA,2,NA,NA,NA,2,"Y","N",15
"BE",50047,200188,3,3,2,2011,4,"M",5,NA,5,NA,NA,"BE",5,4,7,10,40,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,"Y",3,NA,"BE","N",NA,3,NA,NA,NA,4,"Y","N",32
"BE",50049,200196,3,3,2,2011,8,"F",5,NA,5,NA,NA,"BE",5,4,7,8,36,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,"Y",4,NA,"BE","N",NA,2,NA,NA,NA,4,"Y","N",34
"BE",50050,200200,3,5,2,2011,0,"F",6,NA,5,NA,NA,"BE",4,0,2,34,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",2,NA,"BE",NA,NA,1,NA,NA,NA,6,"N","N",7
