"local_id","global_id","country","cnt_count","cnt_age_l","cnt_age_r","cnt_age_mean","cnt_sex","cnt_home","cnt_work","cnt_school","cnt_kindergarden","cnt_transport","cnt_leisure","cnt_otherplace","cnt_otherplace_family","cnt_otherplace_grandparents","cnt_loc_missing","cnt_frequency","cnt_touch","cnt_duration","cnt_hh_member"
6286,25144,"BE",30,NA,NA,8,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,5,"Y",4,"N"
6286,25144,"BE",30,NA,NA,7,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,5,"Y",4,"N"
6286,25144,"BE",30,NA,NA,6,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,5,"Y",4,"N"
6927,27708,"BE",50,NA,NA,49,"M",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",5,"Y"
6927,27708,"BE",50,NA,NA,48,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",1,"Y"
6927,27708,"BE",50,NA,NA,16,"M",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",4,"Y"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,1,0,0,0,0,FALSE,1,"N",5,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,1,0,0,0,0,FALSE,1,"N",5,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",2,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",1,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"Y",2,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"Y",2,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",4,"N"
6927,27708,"BE",50,50,60,55,"F",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",3,"N"
6927,27708,"BE",50,NA,NA,12,"F",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",3,"N"
6927,27708,"BE",50,NA,NA,12,"F",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",3,"N"
6927,27708,"BE",50,NA,NA,12,"F",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",2,"N"
6927,27708,"BE",50,NA,NA,12,"F",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",2,"N"
6927,27708,"BE",50,NA,NA,12,"F",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",2,"N"
6927,27708,"BE",50,45,50,47.5,"F",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,1,FALSE,0,0,0,0,0,FALSE,1,"N",1,"N"
6927,27708,"BE",50,35,40,37.5,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",1,"N"
6927,27708,"BE",50,NA,NA,40,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",2,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",4,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",4,"N"
6927,27708,"BE",50,25,30,27.5,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,20,25,22.5,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,35,45,40,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",1,"N"
6927,27708,"BE",50,35,45,40,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",1,"N"
6927,27708,"BE",50,25,30,27.5,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",2,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",2,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",2,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",2,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",2,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",2,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",3,"N"
6927,27708,"BE",50,NA,NA,12,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"Y",2,"N"
6927,27708,"BE",50,NA,NA,11,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",1,"N"
6927,27708,"BE",50,NA,NA,11,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",1,"N"
6927,27708,"BE",50,NA,NA,11,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",1,"N"
6927,27708,"BE",50,NA,NA,11,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",1,"N"
6927,27708,"BE",50,NA,NA,41,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",2,"N"
9930,39720,"BE",14,18,29,23.5,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"N",5,"N"
9930,39720,"BE",14,30,60,45,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"N",5,"N"
9930,39720,"BE",14,30,60,45,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"N",4,"N"
9930,39720,"BE",14,30,60,45,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"N",5,"N"
9930,39720,"BE",14,30,60,45,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"N",4,"N"
9930,39720,"BE",14,30,60,45,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"N",4,"N"
9930,39720,"BE",14,18,29,23.5,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"N",4,"N"
9930,39720,"BE",14,18,20,19,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"N",4,"N"
9930,39720,"BE",14,30,60,45,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"N",4,"N"
9930,39720,"BE",14,30,60,45,"M",0,0,0,FALSE,0,1,0,0,0,FALSE,2,"Y",4,"N"
9930,39720,"BE",14,30,60,45,"M",0,0,0,FALSE,0,1,0,0,0,FALSE,2,"Y",4,"N"
9930,39720,"BE",14,3,11,7,"M",0,0,0,FALSE,0,0,0,0,0,TRUE,1,"Y",4,"Y"
9930,39720,"BE",14,12,17,14.5,"M",0,0,0,FALSE,0,0,0,0,0,TRUE,1,"Y",4,"Y"
9930,39720,"BE",14,30,60,45,"F",0,0,0,FALSE,0,0,0,0,0,TRUE,1,"Y",5,"Y"
10419,41676,"BE",5,NA,NA,53,"M",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"N",5,"Y"
10419,41676,"BE",5,25,30,27.5,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,5,"N",1,"N"
10419,41676,"BE",5,55,60,57.5,"F",0,0,0,FALSE,0,1,0,0,0,FALSE,3,"N",1,"N"
10419,41676,"BE",5,30,35,32.5,"F",0,0,0,FALSE,0,1,0,0,0,FALSE,5,"N",3,"N"
10419,41676,"BE",5,NA,NA,35,"M",0,0,0,FALSE,0,1,0,0,0,FALSE,3,"N",3,"N"
10504,42016,"BE",11,37,42,39.5,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"Y",3,"N"
10504,42016,"BE",11,50,55,52.5,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"N",3,"N"
10504,42016,"BE",11,45,50,47.5,"F",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"N",3,"N"
10504,42016,"BE",11,25,30,27.5,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,3,"N",1,"N"
10504,42016,"BE",11,30,35,32.5,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,4,"N",1,"N"
10504,42016,"BE",11,32,37,34.5,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,4,"N",1,"N"
10504,42016,"BE",11,27,32,29.5,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,3,"N",2,"N"
10504,42016,"BE",11,NA,NA,54,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"N",3,"Y"
10504,42016,"BE",11,NA,NA,57,"M",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"N",3,"Y"
10504,42016,"BE",11,NA,NA,23,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",2,"Y"
10504,42016,"BE",11,NA,NA,25,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",4,"N"
12958,51832,"BE",3,NA,NA,38,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,3,"Y",4,"N"
12958,51832,"BE",3,NA,NA,46,"M",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",5,"Y"
12958,51832,"BE",3,35,40,37.5,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,3,"N",2,"N"
19607,78428,"BE",49,NA,NA,48,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",4,"Y"
19607,78428,"BE",49,NA,NA,15,"M",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",4,"Y"
19607,78428,"BE",49,NA,NA,13,"M",1,0,0,FALSE,0,0,0,0,0,FALSE,1,"Y",4,"Y"
19607,78428,"BE",49,NA,NA,24,"F",0,0,0,FALSE,1,0,0,0,0,FALSE,2,"Y",2,"N"
19607,78428,"BE",49,NA,NA,24,"M",0,0,0,FALSE,1,0,0,0,0,FALSE,2,"Y",2,"N"
19607,78428,"BE",49,NA,NA,0,"M",0,0,0,FALSE,1,0,0,0,0,FALSE,2,"Y",2,"N"
19607,78428,"BE",49,NA,NA,46,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"Y",5,"N"
19607,78428,"BE",49,NA,NA,55,"F",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"Y",4,"N"
19607,78428,"BE",49,NA,NA,40,"F",0,1,0,FALSE,0,0,0,0,0,FALSE,5,"N",2,"N"
19607,78428,"BE",49,NA,NA,40,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,5,"N",2,"N"
19607,78428,"BE",49,NA,NA,45,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"Y",5,"N"
19607,78428,"BE",49,NA,NA,36,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"N",4,"N"
19607,78428,"BE",49,NA,NA,49,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"Y",4,"N"
19607,78428,"BE",49,NA,NA,53,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"N",3,"N"
19607,78428,"BE",49,NA,NA,50,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"N",4,"N"
19607,78428,"BE",49,NA,NA,30,"F",0,0,0,FALSE,1,0,0,0,0,FALSE,3,"N",2,"N"
19607,78428,"BE",49,NA,NA,30,"F",0,0,0,FALSE,0,1,0,0,0,FALSE,3,"Y",3,"N"
19607,78428,"BE",49,NA,NA,35,"M",0,0,0,FALSE,0,1,0,0,0,FALSE,4,"Y",3,"N"
19607,78428,"BE",49,NA,NA,55,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,2,"Y",3,"N"
19607,78428,"BE",49,NA,NA,30,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,3,"Y",3,"N"
19607,78428,"BE",49,NA,NA,35,"F",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",2,"N"
19607,78428,"BE",49,NA,NA,40,"M",0,0,0,FALSE,0,0,1,0,0,FALSE,2,"N",2,"N"
19607,78428,"BE",49,NA,NA,55,"M",1,0,0,FALSE,0,0,0,0,0,FALSE,2,"Y",3,"N"
19607,78428,"BE",49,NA,NA,19,"F",1,0,0,FALSE,0,0,0,0,0,FALSE,2,"Y",3,"N"
19607,78428,"BE",49,NA,NA,30,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"Y",2,"N"
19607,78428,"BE",49,NA,NA,59,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,3,"N",3,"N"
19607,78428,"BE",49,NA,NA,51,"F",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"N",3,"N"
19607,78428,"BE",49,NA,NA,54,"F",0,1,0,FALSE,0,0,0,0,0,FALSE,4,"Y",4,"N"
19607,78428,"BE",49,NA,NA,42,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,1,"Y",5,"N"
19607,78428,"BE",49,NA,NA,31,"F",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"N",2,"N"
19607,78428,"BE",49,NA,NA,49,"F",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"N",2,"N"
19607,78428,"BE",49,NA,NA,34,"F",0,1,0,FALSE,0,0,0,0,0,FALSE,2,"N",4,"N"
19607,78428,"BE",49,NA,NA,59,"M",0,1,0,FALSE,0,0,0,0,0,FALSE,3,"N",4,"N"
